Strategy,Tickers,TotalFinalValue,AvgFinalValue,AvgReturn,AvgAlpha,AvgSharpe,AvgMaxDrawdown,AvgExposure
LSTM,6,617185.2834379866,102864.2139063311,2.864213906331098,-103.68443116801912,0.11361995541684573,-18.174594218165005,39.35817805383022
E5_RegimeSwitch,6,550527.6171407682,91754.6028567947,-8.245397143205293,-114.7940422175555,-0.17534671138276572,-23.68890101856897,31.283643892339544
RandomForest,6,539181.9760912886,89863.66268188144,-10.136337318118569,-116.68498239246878,-0.2472191429616981,-23.332477573490824,32.028985507246375
E7_ConfidenceWeight,6,502201.6611402689,83700.27685671148,-16.299723143288514,-122.84836821763872,-0.4175796151255631,-28.31089641327755,38.81987577639752
E4_SignalVoting,6,501061.27336166106,83510.2122269435,-16.48978777305649,-123.0384328474067,-0.42519028459309044,-28.451214032326916,38.77846790890269
E3_RollingRMSE,6,490770.38955093717,81795.0649251562,-18.204935074843807,-124.75358014919402,-0.5189224196960743,-27.576197423100353,30.84886128364389
E2_LinearStacker,6,489324.89276799985,81554.14879466665,-18.445851205333355,-124.99449627968357,-0.5192102219357734,-27.701033622240335,31.221532091097306
E1_EqualAverage,6,488755.9924182245,81459.33206970409,-18.540667930295914,-125.08931300464614,-0.5287059094636256,-27.93775614385335,30.786749482401657
ARIMA,6,480354.3067879893,80059.05113133155,-19.940948868668453,-126.48959394301868,-0.5312192656979889,-33.41826230341341,42.864592076548604
E6_ResidualHybrid,6,471449.5514318288,78574.92523863814,-21.42507476136186,-127.97371983571207,-0.6707298632774413,-31.67696073710258,32.857142857142854
