Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
AAPL,ARIMA,100000.0,171056.12358409457,71056.12358409457,71.05612358409456,93.43942095255622,-22.38329736846165,0.7981064763925261,-33.360518597893766,753,93.54037267080744,17,8,7,1,87.5
AAPL,RegimeSwitching,100000.0,170369.60317973178,70369.60317973178,70.36960317973178,93.43942095255622,-23.069817772824443,0.791103851574585,-33.360518597893766,751,93.29192546583852,9,4,4,0,100.0
AAPL,ResidualHybrid,100000.0,153639.72849513407,53639.72849513407,53.63972849513408,93.43942095255622,-39.79969245742214,0.6668610384162094,-37.66012799926476,733,91.05590062111801,19,9,5,4,55.55555555555556
AAPL,ConfidenceWeight,100000.0,153081.13822950356,53081.13822950356,53.08113822950355,93.43942095255622,-40.35828272305266,0.6589113150091203,-37.096855073516025,741,92.04968944099379,23,11,6,5,54.54545454545454
AAPL,LSTM,100000.0,118367.58666662224,18367.586666622243,18.367586666622238,93.43942095255622,-75.07183428593397,0.3396040172169272,-41.51959806222499,674,83.72670807453416,27,13,6,7,46.15384615384615
AAPL,RandomForest,100000.0,101283.46338533037,1283.4633853303676,1.2834633853303634,93.43942095255622,-92.15595756722585,0.10642578150513896,-28.54849488625121,422,52.422360248447205,235,117,71,46,60.68376068376068
GS,ResidualHybrid,100000.0,121965.36732528853,21965.367325288535,21.965367325288533,206.3330147876571,-184.36764746236858,0.38659571770070095,-33.12730556266712,487,60.49689440993789,208,104,58,46,55.769230769230774
GS,RegimeSwitching,100000.0,118456.47279339278,18456.47279339278,18.456472793392777,206.3330147876571,-187.87654199426433,0.3478626860262103,-30.39492972739417,484,60.12422360248447,104,52,33,19,63.46153846153846
GS,RandomForest,100000.0,117464.63168245282,17464.63168245282,17.464631682452826,206.3330147876571,-188.8683831052043,0.4274930653106326,-19.736823445572725,291,36.149068322981364,236,118,63,55,53.38983050847458
GS,LSTM,100000.0,112589.91525613202,12589.915256132022,12.589915256132024,206.3330147876571,-193.74309953152508,0.2787368108710306,-29.7848746425895,437,54.285714285714285,75,37,21,16,56.75675675675676
GS,ConfidenceWeight,100000.0,103535.05372981407,3535.05372981407,3.535053729814064,206.3330147876571,-202.79796105784305,0.15886354820660933,-34.58114837850837,447,55.52795031055901,228,114,60,54,52.63157894736842
GS,ARIMA,100000.0,98328.87165835901,-1671.128341640986,-1.6711283416409817,206.3330147876571,-208.0041431292981,0.09562356807696212,-43.43085397655063,563,69.93788819875778,343,171,96,75,56.14035087719298
JPM,ARIMA,100000.0,159669.3735013392,59669.3735013392,59.66937350133921,196.57068278636726,-136.90130928502805,0.8094534802300619,-25.059379755823883,595,73.91304347826086,327,163,97,66,59.50920245398773
JPM,RegimeSwitching,100000.0,126055.83407853846,26055.834078538464,26.055834078538464,196.57068278636726,-170.5148487078288,0.5311061510360718,-19.297892054307574,274,34.037267080745345,101,50,32,18,64.0
JPM,RandomForest,100000.0,120396.33834422028,20396.338344220276,20.396338344220275,196.57068278636726,-176.174344442147,0.4774868995802331,-22.048668541178294,336,41.73913043478261,246,123,75,48,60.97560975609756
JPM,LSTM,100000.0,118855.34607479534,18855.346074795336,18.85534607479533,196.57068278636726,-177.71533671157192,0.48560944668557077,-13.083245282787626,208,25.838509316770185,83,41,26,15,63.41463414634146
JPM,ResidualHybrid,100000.0,115004.62063614809,15004.620636148087,15.004620636148092,196.57068278636726,-181.56606215021918,0.345170466590389,-23.735750864688498,329,40.869565217391305,121,60,37,23,61.66666666666667
JPM,ConfidenceWeight,100000.0,111664.12790515796,11664.127905157962,11.664127905157962,196.57068278636726,-184.9065548812093,0.30486670212140854,-15.571174274981026,342,42.484472049689444,227,113,70,43,61.94690265486725
XOM,LSTM,100000.0,118061.46950657836,18061.46950657836,18.061469506578366,30.083656407759875,-12.02218690118151,0.34258098055233915,-18.918141774249474,795,98.75776397515527,1,0,0,0,0.0
XOM,ResidualHybrid,100000.0,117945.84372566073,17945.84372566073,17.945843725660726,30.083656407759875,-12.137812682099147,0.3412415151869496,-18.9181417742494,794,98.63354037267081,1,0,0,0,0.0
XOM,RegimeSwitching,100000.0,82824.59181699622,-17175.408183003776,-17.17540818300377,30.083656407759875,-47.25906459076364,-0.15672186515153505,-34.584191664546594,756,93.91304347826087,47,23,12,11,52.17391304347826
XOM,ConfidenceWeight,100000.0,72044.65078251579,-27955.34921748421,-27.955349217484216,30.083656407759875,-58.03900562524409,-0.36710029633123537,-36.23407490402204,717,89.06832298136645,105,52,26,26,50.0
XOM,ARIMA,100000.0,61426.91073276722,-38573.08926723278,-38.57308926723279,30.083656407759875,-68.65674567499266,-0.6375384965113325,-43.989869055053866,638,79.25465838509317,221,110,60,50,54.54545454545454
XOM,RandomForest,100000.0,58782.303612553245,-41217.696387446755,-41.21769638744676,30.083656407759875,-71.30135279520663,-0.8841998045837001,-45.448931893016685,429,53.29192546583851,281,140,73,67,52.142857142857146
TSLA,ARIMA,100000.0,107116.78483431129,7116.7848343112855,7.116784834311285,26.74238881699258,-19.625603982681294,0.4533619978074573,-84.5163604785281,570,96.28378378378379,1,0,0,0,0.0
TSLA,RandomForest,100000.0,100000.0,0.0,0.0,26.74238881699258,-26.74238881699258,0.0,0.0,0,0.0,0,0,0,0,0.0
TSLA,LSTM,100000.0,100000.0,0.0,0.0,26.74238881699258,-26.74238881699258,0.0,0.0,0,0.0,0,0,0,0,0.0
TSLA,ResidualHybrid,100000.0,100000.0,0.0,0.0,26.74238881699258,-26.74238881699258,0.0,0.0,0,0.0,0,0,0,0,0.0
TSLA,ConfidenceWeight,100000.0,100000.0,0.0,0.0,26.74238881699258,-26.74238881699258,0.0,0.0,0,0.0,0,0,0,0,0.0
TSLA,RegimeSwitching,100000.0,100000.0,0.0,0.0,26.74238881699258,-26.74238881699258,0.0,0.0,0,0.0,0,0,0,0,0.0
SPY,RegimeSwitching,100000.0,147578.58958182216,47578.58958182216,47.57858958182215,86.12270669476825,-38.5441171129461,1.0680952746148002,-10.237646924964238,554,68.81987577639752,81,40,29,11,72.5
SPY,LSTM,100000.0,133646.10156022006,33646.101560220064,33.64610156022005,86.12270669476825,-52.476605134548194,0.8350506001078748,-10.133702671788514,506,62.857142857142854,57,28,19,9,67.85714285714286
SPY,ResidualHybrid,100000.0,123281.65450705224,23281.65450705224,23.28165450705224,86.12270669476825,-62.84105218771601,0.6156344277104219,-10.499738311662455,533,66.2111801242236,167,83,54,29,65.06024096385542
