Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ARIMA_d_meta,ARIMA_d_test,target_mode,residual_weight_RandomForest,residual_weight_LSTM,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode
AAPL,ARIMA,0.011526533309400065,114.81512599590033,0.01688065783388108,-0.004705787692985464,0.5341614906832298,-0.03915271391577581,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,RandomForest,0.012296147516449717,176.34548049876932,0.017418021782620016,-0.06968973653376298,0.4645962732919255,-0.0636914187425507,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,LSTM,0.011734860320098055,129.79984149294978,0.01711966509767581,-0.03335774610721076,0.5043478260869565,-0.07837420835330351,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,NaiveZero,0.01153085271712113,100.0,0.016862782973722748,-0.0025791564575492476,0.5453416149068323,0.0,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,ResidualHybrid,0.01167732391055699,124.45676382299365,0.016857855893756588,-0.0019933615725677978,0.4968944099378882,-0.07684438232701976,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,ConfidenceWeight,0.011594917174790418,119.14801774882129,0.0166695559580414,0.02026588043738231,0.4906832298136646,-0.09472100351655371,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,RegimeSwitching,0.011793116781657644,137.06028162058058,0.01695038284528722,-0.0130227382853505,0.4894409937888199,-0.11612061363796172,0,0,log_return,0.2175078612862559,0.5179406162370823,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,ARIMA,0.01199058292578657,114.99512159821805,0.01700844925318059,-0.01620427578245831,0.5006211180124224,-0.018049573043188417,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,RandomForest,0.01269441088151108,198.19036467712485,0.01768208893605735,-0.09829428057706635,0.5043478260869565,0.010428714280423475,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,LSTM,0.01207049096310241,118.9350998219607,0.016966858931496718,-0.011240555899132865,0.4795031055900621,-0.04055023496944327,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
