Date,PortfolioValue,StrategyReturn
2019-12-05,100000.0,1.0
2019-12-06,100000.0,1.0
2019-12-09,100000.0,1.0
2019-12-10,100000.0,1.0
2019-12-11,100000.0,1.0
2019-12-12,100000.0,1.0
2019-12-13,100000.0,1.0
2019-12-16,100000.0,1.0
2019-12-17,100000.0,1.0
2019-12-18,100000.0,1.0
2019-12-19,100000.0,1.0
2019-12-20,100000.0,1.0
2019-12-23,100000.0,1.0
2019-12-24,100000.0,1.0
2019-12-26,100000.0,1.0
2019-12-27,100000.0,1.0
2019-12-30,100000.0,1.0
2019-12-31,100000.0,1.0
2020-01-02,100000.0,1.0
2020-01-03,100000.0,1.0
2020-01-06,100000.0,1.0
2020-01-07,100000.0,1.0
2020-01-08,100000.0,1.0
2020-01-09,100000.0,1.0
2020-01-10,100000.0,1.0
2020-01-13,100000.0,1.0
2020-01-14,100000.0,1.0
2020-01-15,100000.0,1.0
2020-01-16,100000.0,1.0
2020-01-17,100000.0,1.0
2020-01-21,100000.0,1.0
2020-01-22,100000.0,1.0
2020-01-23,100000.0,1.0
2020-01-24,100000.0,1.0
2020-01-27,100000.0,1.0
2020-01-28,100000.0,1.0
2020-01-29,100000.0,1.0
2020-01-30,100000.0,1.0
2020-01-31,100000.0,1.0
2020-02-03,100000.0,1.0
2020-02-04,100000.0,1.0
2020-02-05,100000.0,1.0
2020-02-06,100000.0,1.0
2020-02-07,100000.0,1.0
2020-02-10,100000.0,1.0
2020-02-11,100000.0,1.0
2020-02-12,100000.0,1.0
2020-02-13,100000.0,1.0
2020-02-14,100000.0,1.0
2020-02-18,100000.0,1.0
2020-02-19,100000.0,1.0
2020-02-20,100000.0,1.0
2020-02-21,100000.0,1.0
2020-02-24,100000.0,1.0
2020-02-25,100000.0,1.0
2020-02-26,100000.0,1.0
2020-02-27,100000.0,1.0
2020-02-28,100000.0,1.0
2020-03-02,100000.0,1.0
2020-03-03,100000.0,1.0
2020-03-04,100000.0,1.0
2020-03-05,100000.0,1.0
2020-03-06,100000.0,1.0
2020-03-09,100000.0,1.0
2020-03-10,100000.0,1.0
2020-03-11,100000.0,1.0
2020-03-12,100000.0,1.0
2020-03-13,100000.0,1.0
2020-03-16,100000.0,1.0
2020-03-17,100000.0,1.0
2020-03-18,100000.0,1.0
2020-03-19,100000.0,1.0
2020-03-20,100000.0,1.0
2020-03-23,100000.0,1.0
2020-03-24,100000.0,1.0
2020-03-25,100000.0,1.0
2020-03-26,100000.0,1.0
2020-03-27,100000.0,1.0
2020-03-30,100000.0,1.0
2020-03-31,100000.0,1.0
2020-04-01,100000.0,1.0
2024-01-02,100000.0,1.0
2024-01-03,100000.0,1.0
2024-01-04,100000.0,1.0
2024-01-05,100000.0,1.0
2024-01-08,100000.0,1.0
2024-01-09,100000.0,1.0
2024-01-10,100000.0,1.0
2024-01-11,100000.0,1.0
2024-01-12,100000.0,1.0
2024-01-16,100000.0,1.0
2024-01-17,100000.0,1.0
2024-01-18,100000.0,1.0
2024-01-19,100000.0,1.0
2024-01-22,100000.0,1.0
2024-01-23,100000.0,1.0
2024-01-24,100000.0,1.0
2024-01-25,100000.0,1.0
2024-01-26,100000.0,1.0
2024-01-29,100000.0,1.0
2024-01-30,100000.0,1.0
2024-01-31,100000.0,1.0
2024-02-01,100000.0,1.0
2024-02-02,100000.0,1.0
2024-02-05,100000.0,1.0
2024-02-06,100000.0,1.0
2024-02-07,100000.0,1.0
2024-02-08,100000.0,1.0
2024-02-09,100000.0,1.0
2024-02-12,100000.0,1.0
2024-02-13,100000.0,1.0
2024-02-14,100000.0,1.0
2024-02-15,100000.0,1.0
2024-02-16,100000.0,1.0
2024-02-20,100000.0,1.0
2024-02-21,100000.0,1.0
2024-02-22,100000.0,1.0
2024-02-23,100000.0,1.0
2024-02-26,100000.0,1.0
2024-02-27,100000.0,1.0
2024-02-28,100000.0,1.0
2024-02-29,100000.0,1.0
2024-03-01,100854.98397986506,1.0085498397986505
2024-03-04,94039.98397986506,0.9403998397986506
2024-03-05,90561.98684851741,0.9056198684851741
2024-03-06,88587.98111121272,0.8858798111121272
2024-03-07,89579.68139807796,0.8957968139807796
2024-03-08,88023.9825455389,0.8802398254553889
2024-03-11,89166.08627478694,0.8916608627478694
2024-03-12,89057.98111121272,0.8905798111121273
2024-03-13,85269.78225867366,0.8526978225867365
2024-03-14,81989.1842667303,0.819891842667303
2024-03-15,82492.08770911311,0.8249208770911312
2024-03-18,87300.18570105647,0.8730018570105648
2024-03-19,86134.58770911311,0.8613458770911311
2024-03-20,88174.3859879217,0.8817438598792171
2024-03-21,86839.58770911311,0.8683958770911311
2024-03-22,85904.285127326,0.85904285127326
2024-03-25,86750.28656165217,0.8675028656165218
2024-03-26,89119.0834061346,0.8911908340613459
2024-03-27,90134.285127326,0.90134285127326
2024-03-28,88235.48111121272,0.8823548111121272
2024-04-01,87967.58484046077,0.8796758484046077
2024-04-02,83930.28656165217,0.8393028656165218
2024-04-03,84752.78656165217,0.8475278656165217
2024-04-04,86035.88455359553,0.8603588455359553
2024-04-05,83117.18139807796,0.8311718139807796
2024-04-08,86914.78225867366,0.8691478225867366
2024-04-09,88747.78656165217,0.8874778656165218
2024-04-10,86341.38168494319,0.8634138168494319
