Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ARIMA_d_meta,ARIMA_d_test,target_mode,residual_weight_RandomForest,residual_weight_LSTM,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode
AAPL,ARIMA,0.011526533309400065,114.81512599590033,0.01688065783388108,-0.004705787692985464,0.5341614906832298,-0.03915271391577581,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,RandomForest,0.012296147516449717,176.34548049876935,0.017418021782620016,-0.06968973653376298,0.4645962732919255,-0.0636914187425507,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,LSTM,0.011633684390420996,126.28918596509016,0.016886788740644452,-0.005435720869112259,0.5167701863354037,-0.08448873922825,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,NaiveZero,0.01153085271712113,100.0,0.016862782973722748,-0.0025791564575492476,0.5453416149068323,0.0,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,ResidualHybrid,0.011654340767640475,123.68847238452989,0.01676631304825943,0.008859296921718607,0.4993788819875776,-0.0767626623258413,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,ConfidenceWeight,0.011616858219816867,118.86276609560049,0.01671422947160781,0.015007574366482035,0.5043478260869565,-0.09331225651242417,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
AAPL,RegimeSwitching,0.01177588620128166,134.82563628667444,0.01694648604849641,-0.012557015471577504,0.49813664596273294,-0.11092700564188333,0,0,log_return,0.21742439250458734,0.5187805202473285,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,ARIMA,0.01199058292578657,114.99512159821805,0.01700844925318059,-0.01620427578245831,0.5006211180124224,-0.018049573043188417,0,0,log_return,0.125235801423714,-0.08656831810134047,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,RandomForest,0.01269441088151108,198.19036467712482,0.01768208893605735,-0.09829428057706635,0.5043478260869565,0.010428714280423475,0,0,log_return,0.125235801423714,-0.08656831810134047,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,LSTM,0.011987920848472921,107.6790594698289,0.01690259309239416,-0.0035944566087409147,0.4745341614906832,-0.021369417879853077,0,0,log_return,0.125235801423714,-0.08656831810134047,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,NaiveZero,0.011969806113596245,100.0,0.016931795911553332,-0.007065297441100737,0.5503105590062112,0.0,0,0,log_return,0.125235801423714,-0.08656831810134047,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,ResidualHybrid,0.012002122586295976,119.16625697699685,0.01701777801405578,-0.01731931294002198,0.49813664596273294,-0.021744306226523468,0,0,log_return,0.125235801423714,-0.08656831810134047,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
