Date,ARIMA,RandomForest,LSTM,NaiveZero,ResidualHybrid,ConfidenceWeight,RegimeSwitching,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.00434443930732561,-0.00391789695239132,8.676179277244955e-05,0.0,0.003678278985660511,8.676180759741496e-05,-0.00391789695239132,0.00434443930732561,HOLD,LOW,MEDIUM,Volatile,0.02388193142431348,9.748439945331114,0,0,1,ARIMA
2022-10-18,-0.003234220475597189,-0.005966028823035696,-0.0003412857768125832,0.0,-0.0038267771745754335,-0.0032342204552380325,-0.005966028823035696,-0.003234220475597189,HOLD,LOW,MEDIUM,Volatile,0.02437315136604346,10.198842108533126,0,0,1,ARIMA
2022-10-19,0.0003064404387175053,-0.002797724875945502,0.00039760267827659845,0.0,-9.020395396899393e-05,0.00030643002665923895,-0.002797724875945502,0.0003064404387175053,HOLD,LOW,MEDIUM,Volatile,0.024357491718061005,10.031109180444316,0,0,1,ARIMA
2022-10-20,0.00190578982275227,-0.0036518856232759626,0.0008783561643213034,0.0,0.001298713087987103,0.000878355413554593,-0.0036518856232759626,0.00190578982275227,HOLD,LOW,MEDIUM,Volatile,0.023747456671864217,9.941563832449434,0,0,1,ARIMA
2022-10-21,-0.00013482754037047004,-0.0047109004041125885,0.0008449585875496268,0.0,-0.0007927341300275918,-0.00013482834048989808,-0.0047109004041125885,-0.00013482754037047004,HOLD,LOW,MEDIUM,Volatile,0.024275425389737555,10.352537408246686,0,0,1,ARIMA
2022-10-24,-0.003111287187705642,0.013771115328033273,-0.0001529158471385017,0.0,-0.0012531072099614593,-0.00015291558115100275,0.013771115328033273,-0.003111287187705642,HOLD,LOW,MEDIUM,Volatile,0.023377916171431697,9.69297042682062,0,0,1,ARIMA
2022-10-25,0.0023292682041732957,0.012696754609010564,-9.799237886909395e-05,0.0,0.003837772539100209,0.002329268519384409,0.012696754609010564,0.0023292682041732957,HOLD,LOW,MEDIUM,Volatile,0.02307733822856236,9.45306723886878,0,0,1,ARIMA
2022-10-26,-0.0003150286004460169,-0.006763859053248952,-0.00028895033756271005,0.0,-0.0011249106018052573,-0.00031506406036184057,-0.006763859053248952,-0.0003150286004460169,HOLD,LOW,MEDIUM,Volatile,0.022325729989123848,9.493827259561073,0,0,1,ARIMA
2022-10-27,0.00023537934036209744,0.007619886174165099,-0.0002585488837212324,0.0,0.0012029425074339848,0.0002353812214014477,0.007619886174165099,0.00023537934036209744,HOLD,LOW,MEDIUM,Volatile,0.021767971905212,9.509870501675639,0,0,1,ARIMA
2022-10-28,0.0004399374418184019,0.0035501001328562365,2.2883265046402812e-05,0.0,0.0008655448376289512,0.000439939506826315,0.0035501001328562365,0.0004399374418184019,HOLD,LOW,MEDIUM,Volatile,0.021448303790724408,9.52924818395292,0,0,1,ARIMA
2022-10-31,-0.0005430915693415334,0.002667540516587376,-1.593348861206323e-05,0.0,-0.0001866406754058168,-1.5931971190293595e-05,0.002667540516587376,-0.0005430915693415334,HOLD,LOW,MEDIUM,Volatile,0.021232927425373384,9.32944207960941,0,0,1,ARIMA
2022-11-01,0.0005180607932541875,-0.0019108036483259502,-0.00019343952590133995,0.0,0.00027547339432119834,-0.00019344034583270925,0.0005180607932541875,0.0005180607932541875,BUY,HIGH,MEDIUM,Bearish,0.01858157191988998,9.11894375116704,1,2,1,ARIMA
2022-11-02,-0.00024106199737931874,0.00023216688687821926,-0.0005068308673799038,0.0,-0.00015878963472283153,-0.00024106036705164152,-0.00024106199737931874,-0.00024106199737931874,HOLD,HIGH,MEDIUM,Bearish,0.01772095793236304,8.429977885072816,0,2,1,ARIMA
2022-11-03,0.0006903025801589874,-0.0038206165640092132,-0.0006328792660497129,0.0,0.00023991963295002259,-0.0006328797071577919,-0.0006328792660497129,0.0006903025801589874,BUY,HIGH,LOW,Bullish,0.017206939231595723,8.1312720440126,1,2,0,ARIMA
2022-11-04,0.0005437672755537251,-0.001298331142047884,-0.0007771603995934129,0.0,0.0004274210910950338,-0.0007771592440690928,-0.0007771603995934129,0.0005437672755537251,BUY,HIGH,LOW,Bullish,0.017109914010497305,7.989604624331316,1,2,0,ARIMA
2022-11-07,-0.001796851522399695,-0.0009538120258850437,-0.0008840742520987988,0.0,-0.0017702903885129196,-0.0009538247823763834,-0.0008840742520987988,-0.001796851522399695,SELL,HIGH,LOW,Bullish,0.016952879184534406,7.1395889436319635,-1,2,0,ARIMA
2022-11-08,0.0009708103011122856,-0.0009779579441544161,-0.0007540690712630749,0.0,0.0008760746543214561,-0.0007540652233769017,-0.0007540690712630749,0.0009708103011122856,BUY,HIGH,LOW,Bullish,0.015418403727167854,7.0727639174295565,1,2,0,ARIMA
2022-11-09,0.0005129952203646965,0.005016150562285313,-0.0006537152803502977,0.0,0.0011779516543036735,0.0005129958540407789,-0.0006537152803502977,0.0005129952203646965,BUY,MEDIUM,LOW,Bullish,0.015773840114948666,7.020640492948838,1,1,0,ARIMA
2022-11-10,0.0008285003020646591,-0.0002099197595818004,-0.0004986099665984511,0.0,0.0008133386373230858,-0.00020991728063548314,-0.0004986099665984511,0.0008285003020646591,BUY,HIGH,LOW,Bullish,0.016288867048885155,7.164313453000582,1,2,0,ARIMA
2022-11-11,-0.0033364860257856913,0.0005409710825740621,-0.0004580696113407612,0.0,-0.0031000692451279696,-0.00045807026312935005,-0.0004580696113407612,-0.0033364860257856913,SELL,HIGH,LOW,Bullish,0.014277565272051878,7.3347179704062615,-1,2,0,ARIMA
2022-11-14,0.001959250585520763,0.0038250470033806645,-0.0003002553712576628,0.0,0.002388516725623211,0.001959250492313712,-0.0003002553712576628,0.001959250585520763,BUY,HIGH,LOW,Bullish,0.014742037960191042,7.275911592399581,1,2,0,ARIMA
2022-11-15,0.0015658983279316818,-0.00668174712068405,-0.00018241496582049876,0.0,0.0006843463816699847,-0.00018241538333219518,-0.00018241496582049876,0.0015658983279316818,BUY,MEDIUM,LOW,Bullish,0.014609697131108932,7.453670753182856,1,1,0,ARIMA
2022-11-16,-0.00043908568879271533,0.001288056015305601,-8.998686098493636e-06,0.0,-0.00026001762176812904,-8.997141537550176e-06,-8.998686098493636e-06,-0.00043908568879271533,SELL,HIGH,LOW,Bullish,0.014340267227605088,7.39686316938729,-1,2,0,ARIMA
